#a1 a2 eps sig(A)
B0aGc B0gTu 1.7 3.6
B0aGt B0gTu 1.7 3.6
B0aG3 B0gTu 1.7 3.6
B0gTu B0uGa 1.7 3.6
B0gTu B0uGu 1.7 3.6
B0gTu B0uGg 1.7 3.6
B0gTu B0uGc 1.7 3.6
B0gTu B0uGt 1.7 3.6
B0gTu B0uG3 1.7 3.6
B0gGa B0gTu 1.7 3.6
B0gGu B0gTu 1.7 3.6
B0gGg B0gTu 1.7 3.6
B0gGc B0gTu 1.7 3.6
B0gGt B0gTu 1.7 3.6
B0gG3 B0gTu 1.7 3.6
B0cGa B0gTu 1.7 3.6
B0cGu B0gTu 1.7 3.6
B0cGg B0gTu 1.7 3.6
B0cGc B0gTu 1.7 3.6
B0cGt B0gTu 1.7 3.6
B0cG3 B0gTu 1.7 3.6
B0gTu B0tGa 1.7 3.6
B0gTu B0tGu 1.7 3.6
B0gTu B0tGg 1.7 3.6
B0gTu B0tGc 1.7 3.6
B0gTu B0tGt 1.7 3.6
B0gTu B0tG3 1.7 3.6
B05Ga B0gTg 1.7 3.6
B05Gu B0gTg 1.7 3.6
B05Gg B0gTg 1.7 3.6
B05Gc B0gTg 1.7 3.6
B05Gt B0gTg 1.7 3.6
B05G3 B0gTg 1.7 3.6
B0aGa B0gTg 1.7 3.6
B0aGu B0gTg 1.7 3.6
B0aGg B0gTg 1.7 3.6
B0aGc B0gTg 1.7 3.6
B0aGt B0gTg 1.7 3.6
B0aG3 B0gTg 1.7 3.6
B0gTg B0uGa 1.7 3.6
B0gTg B0uGu 1.7 3.6
B0gTg B0uGg 1.7 3.6
B0gTg B0uGc 1.7 3.6
B0gTg B0uGt 1.7 3.6
B0gTg B0uG3 1.7 3.6
B0gGa B0gTg 1.7 3.6
B0gGu B0gTg 1.7 3.6
B0gGg B0gTg 1.7 3.6
B0gGc B0gTg 1.7 3.6
B0gGt B0gTg 1.7 3.6
B0gG3 B0gTg 1.7 3.6
B0cGa B0gTg 1.7 3.6
B0cGu B0gTg 1.7 3.6
B0cGg B0gTg 1.7 3.6
B0cGc B0gTg 1.7 3.6
B0cGt B0gTg 1.7 3.6
B0cG3 B0gTg 1.7 3.6
B0gTg B0tGa 1.7 3.6
B0gTg B0tGu 1.7 3.6
B0gTg B0tGg 1.7 3.6
B0gTg B0tGc 1.7 3.6
B0gTg B0tGt 1.7 3.6
B0gTg B0tG3 1.7 3.6
B05Ga B0gTc 1.7 3.6
B05Gu B0gTc 1.7 3.6
B05Gg B0gTc 1.7 3.6
B05Gc B0gTc 1.7 3.6
B05Gt B0gTc 1.7 3.6
B05G3 B0gTc 1.7 3.6
B0aGa B0gTc 1.7 3.6
B0aGu B0gTc 1.7 3.6
B0aGg B0gTc 1.7 3.6
B0aGc B0gTc 1.7 3.6
B0aGt B0gTc 1.7 3.6
B0aG3 B0gTc 1.7 3.6
B0gTc B0uGa 1.7 3.6
B0gTc B0uGu 1.7 3.6
B0gTc B0uGg 1.7 3.6
B0gTc B0uGc 1.7 3.6
B0gTc B0uGt 1.7 3.6
B0gTc B0uG3 1.7 3.6
B0gGa B0gTc 1.7 3.6
B0gGu B0gTc 1.7 3.6
B0gGg B0gTc 1.7 3.6
B0gGc B0gTc 1.7 3.6
B0gGt B0gTc 1.7 3.6
B0gG3 B0gTc 1.7 3.6
B0cGa B0gTc 1.7 3.6
