#a1 a2 eps sig(A)
#S0aA3 S0aUu 1.00 14.00
S0aA3 B0aUu 1.00 10.00
B0aA3 S0aUu 1.00 10.00
B0aA3 B0aUu 1.00  6.00
#S0aA3 S0aUt 1.00 14.00
S0aA3 B0aUt 1.00 10.00
B0aA3 S0aUt 1.00 10.00
B0aA3 B0aUt 1.00  6.00
#S0aA3 S0uUu 1.00 14.00
S0aA3 B0uUu 1.00 10.00
B0aA3 S0uUu 1.00 10.00
B0aA3 B0uUu 1.00  6.00
#S0aA3 S0uUt 1.00 14.00
S0aA3 B0uUt 1.00 10.00
B0aA3 S0uUt 1.00 10.00
B0aA3 B0uUt 1.00  6.00
#S0aA3 S0gUu 1.00 14.00
S0aA3 B0gUu 1.00 10.00
B0aA3 S0gUu 1.00 10.00
B0aA3 B0gUu 1.00  6.00
#S0aA3 S0gUt 1.00 14.00
S0aA3 B0gUt 1.00 10.00
B0aA3 S0gUt 1.00 10.00
B0aA3 B0gUt 1.00  6.00
#S0aA3 S0cUu 1.00 14.00
S0aA3 B0cUu 1.00 10.00
B0aA3 S0cUu 1.00 10.00
B0aA3 B0cUu 1.00  6.00
#S0aA3 S0cUt 1.00 14.00
S0aA3 B0cUt 1.00 10.00
B0aA3 S0cUt 1.00 10.00
B0aA3 B0cUt 1.00  6.00
#S0aA3 S0tUu 1.00 14.00
S0aA3 B0tUu 1.00 10.00
B0aA3 S0tUu 1.00 10.00
B0aA3 B0tUu 1.00  6.00
#S0aA3 S0tUt 1.00 14.00
S0aA3 B0tUt 1.00 10.00
B0aA3 S0tUt 1.00 10.00
B0aA3 B0tUt 1.00  6.00
#S05Ua S0uAa 1.00 14.00
S05Ua B0uAa 1.00 10.00
B05Ua S0uAa 1.00 10.00
B05Ua B0uAa 1.00  6.00
#S0aUa S0uAa 1.00 14.00
S0aUa B0uAa 1.00 10.00
B0aUa S0uAa 1.00 10.00
B0aUa B0uAa 1.00  6.00
#S0uAa S0uUa 2.00 14.00
S0uAa B0uUa 2.00 10.00
B0uAa S0uUa 2.00 10.00
B0uAa B0uUa 2.00  6.00
#S0uAa S0uUu 1.00 14.00
S0uAa B0uUu 1.00 10.00
B0uAa S0uUu 1.00 10.00
B0uAa B0uUu 1.00  6.00
#S0uAa S0uUg 1.00 14.00
S0uAa B0uUg 1.00 10.00
B0uAa S0uUg 1.00 10.00
B0uAa B0uUg 1.00  6.00
#S0uAa S0uUc 1.00 14.00
S0uAa B0uUc 1.00 10.00
B0uAa S0uUc 1.00 10.00
B0uAa B0uUc 1.00  6.00
#S0uAa S0uUt 1.00 14.00
S0uAa B0uUt 1.00 10.00
B0uAa S0uUt 1.00 10.00
B0uAa B0uUt 1.00  6.00
#S0uAa S0uU3 1.00 14.00
S0uAa B0uU3 1.00 10.00
B0uAa S0uU3 1.00 10.00
B0uAa B0uU3 1.00  6.00
#S0gUa S0uAa 1.00 14.00
S0gUa B0uAa 1.00 10.00
B0gUa S0uAa 1.00 10.00
B0gUa B0uAa 1.00  6.00
#S0cUa S0uAa 1.00 14.00
S0cUa B0uAa 1.00 10.00
B0cUa S0uAa 1.00 10.00
B0cUa B0uAa 1.00  6.00
#S0tUa S0uAa 2.00 14.00
S0tUa B0uAa 2.00 10.00
B0tUa S0uAa 2.00 10.00
B0tUa B0uAa 2.00  6.00
#S0tUu S0uAa 1.00 14.00
S0tUu B0uAa 1.00 10.00
B0tUu S0uAa 1.00 10.00
B0tUu B0uAa 1.00  6.00
#S0tUg S0uAa 1.00 14.00
S0tUg B0uAa 1.00 10.00
B0tUg S0uAa 1.00 10.00
B0tUg B0uAa 1.00  6.00
#S0tUc S0uAa 1.00 14.00
S0tUc B0uAa 1.00 10.00
B0tUc S0uAa 1.00 10.00
B0tUc B0uAa 1.00  6.00
#S0tUt S0uAa 1.00 14.00
S0tUt B0uAa 1.00 10.00
B0tUt S0uAa 1.00 10.00
B0tUt B0uAa 1.00  6.00
#S0tU3 S0uAa 1.00 14.00
S0tU3 B0uAa 1.00 10.00
B0tU3 S0uAa 1.00 10.00
B0tU3 B0uAa 1.00  6.00
#S05Ua S0uAu 1.00 14.00
S05Ua B0uAu 1.00 10.00
B05Ua S0uAu 1.00 10.00
B05Ua B0uAu 1.00  6.00
#S0aUa S0uAu 2.00 14.00
S0aUa B0uAu 2.00 10.00
B0aUa S0uAu 2.00 10.00
B0aUa B0uAu 2.00  6.00
#S0aUu S0uAu 1.00 14.00
S0aUu B0uAu 1.00 10.00
B0aUu S0uAu 1.00 10.00
B0aUu B0uAu 1.00  6.00
#S0aUg S0uAu 1.00 14.00
S0aUg B0uAu 1.00 10.00
B0aUg S0uAu 1.00 10.00
B0aUg B0uAu 1.00  6.00
#S0aUc S0uAu 1.00 14.00
S0aUc B0uAu 1.00 10.00
B0aUc S0uAu 1.00 10.00
B0aUc B0uAu 1.00  6.00
#S0aUt S0uAu 1.00 14.00
S0aUt B0uAu 1.00 10.00
B0aUt S0uAu 1.00 10.00
B0aUt B0uAu 1.00  6.00
#S0aU3 S0uAu 1.00 14.00
S0aU3 B0uAu 1.00 10.00
B0aU3 S0uAu 1.00 10.00
B0aU3 B0uAu 1.00  6.00
#S0uAu S0uUa 1.00 14.00
S0uAu B0uUa 1.00 10.00
B0uAu S0uUa 1.00 10.00
B0uAu B0uUa 1.00  6.00
#S0gUa S0uAu 1.00 14.00
S0gUa B0uAu 1.00 10.00
B0gUa S0uAu 1.00 10.00
B0gUa B0uAu 1.00  6.00
#S0cUa S0uAu 1.00 14.00
S0cUa B0uAu 1.00 10.00
B0cUa S0uAu 1.00 10.00
B0cUa B0uAu 1.00  6.00
#S0tUa S0uAu 1.00 14.00
S0tUa B0uAu 1.00 10.00
B0tUa S0uAu 1.00 10.00
B0tUa B0uAu 1.00  6.00
#S05Ua S0uAg 1.00 14.00
S05Ua B0uAg 1.00 10.00
B05Ua S0uAg 1.00 10.00
B05Ua B0uAg 1.00  6.00
#S0aUa S0uAg 1.00 14.00
